,City,Country,Lat,Lng,Date,Max Temp,Humidity,Cloudiness,Wind Speed
0,Atuona,PF,-9.8,-139.03,2019-06-30T16:27:53Z,79.76,75,1,13.22
1,Rikitea,PF,-23.12,-134.97,2019-06-30T16:27:53Z,69.32,61,100,13.02
2,Poum,NC,-20.23,164.02,2019-06-30T16:27:53Z,72.92,80,8,13.42
3,Lebu,CL,-37.62,-73.65,2019-06-30T16:27:53Z,50.96,73,0,1.03
4,Ushuaia,AR,-54.81,-68.31,2019-06-30T16:27:53Z,30.2,80,0,9.17
5,Kapaa,US,22.08,-159.32,2019-06-30T16:27:54Z,78.8,74,40,12.75
6,Hithadhoo,MV,-0.6,73.08,2019-06-30T16:27:54Z,84.08,75,100,7.72
7,Tilichiki,RU,60.47,166.1,2019-06-30T16:27:54Z,43.4,97,100,2.82
8,Carballo,ES,43.21,-8.69,2019-06-30T16:27:54Z,72.0,88,90,6.93
9,Tuktoyaktuk,CA,69.44,-133.03,2019-06-30T16:27:54Z,39.2,80,75,4.7
10,Albany,AU,-35.02,117.88,2019-06-30T16:27:54Z,53.6,81,41,12.75
11,Waipawa,NZ,-39.94,176.59,2019-06-30T16:27:54Z,28.99,93,0,1.41
12,Yichang,CN,30.77,111.32,2019-06-30T16:27:54Z,65.0,68,17,4.65
13,Suaita,CO,6.1,-73.44,2019-06-30T16:27:55Z,74.54,52,78,3.4
14,Ribeira Grande,PT,38.52,-28.7,2019-06-30T16:27:55Z,71.6,73,75,13.87
15,Qaqortoq,GL,60.72,-46.03,2019-06-30T16:27:55Z,53.6,54,40,9.17
16,Upernavik,GL,72.79,-56.15,2019-06-30T16:27:55Z,39.98,80,41,9.24
17,Fuerte Olimpo,PY,-21.04,-57.87,2019-06-30T16:27:55Z,89.3,39,0,10.69
18,Noumea,NC,-22.28,166.46,2019-06-30T16:23:40Z,64.4,100,90,10.85
19,Castro,CL,-42.48,-73.76,2019-06-30T16:27:55Z,42.8,81,0,2.24
20,Oussouye,SN,12.49,-16.54,2019-06-30T16:27:56Z,96.8,47,75,6.93
21,Vao,NC,-22.67,167.48,2019-06-30T16:27:56Z,71.66,85,0,11.95
22,Kamnik,SI,46.23,14.61,2019-06-30T16:27:56Z,93.2,42,0,6.93
23,Sembakung,ID,3.82,117.25,2019-06-30T16:27:56Z,74.18,89,30,1.05
24,Sakaiminato,JP,35.55,133.23,2019-06-30T16:27:56Z,75.2,78,75,12.75
25,Port Pirie,AU,-33.18,138.01,2019-06-30T16:27:56Z,42.8,87,67,6.93
26,Kindu,CD,-2.95,25.92,2019-06-30T16:27:57Z,91.82,34,28,1.95
27,Cudahy,US,33.96,-118.19,2019-06-30T16:27:57Z,77.0,57,1,3.2
28,Kontagora,NG,10.4,5.47,2019-06-30T16:27:57Z,92.0,47,12,3.24
29,Ucluelet,CA,48.94,-125.55,2019-06-30T16:27:57Z,63.0,87,5,4.7
